trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
182,False,"{'a': 0.5, 'e': 0.16202575093388075}",30,13,27.199881791758074,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.5, 'e': 0.16041356777517274}",30,18,24.429014511347855,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
184,False,"{'a': 0.5, 'e': 0.15881742610692068}",20,0,20.90629809048975,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",1
185,False,"{'a': 0.5, 'e': 0.15723716631362761}",25,13,21.35480504694037,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
186,False,"{'a': 0.5, 'e': 0.15567263036799731}",30,12,34.82204591296868,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
187,False,"{'a': 0.5, 'e': 0.1541236618151314}",25,15,19.299191560861075,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
188,False,"{'a': 0.5, 'e': 0.15259010575688386}",30,16,25.314213023909353,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
189,False,"{'a': 0.5, 'e': 0.15107180883637084}",20,13,15.133419873177111,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
190,False,"{'a': 0.5, 'e': 0.14956861922263504}",25,2,39.15360846653503,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
191,False,"{'a': 0.5, 'e': 0.14808038659546244}",20,8,11.783333422118458,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
192,False,"{'a': 0.5, 'e': 0.14660696213035015}",20,13,14.784051803257242,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
193,False,"{'a': 0.5, 'e': 0.14514819848362373}",25,0,-19.66134796910797,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",1
194,False,"{'a': 0.5, 'e': 0.14370394977770293}",20,14,9.402359911931123,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
195,False,"{'a': 0.5, 'e': 0.14227407158651359}",30,22,16.782869509472498,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
196,False,"{'a': 0.5, 'e': 0.140858420921045}",25,20,9.3167043983508,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
197,False,"{'a': 0.5, 'e': 0.13945685621505094}",25,18,12.294179336427348,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
198,False,"{'a': 0.5, 'e': 0.13806923731089282}",30,18,23.434542051932056,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
199,False,"{'a': 0.5, 'e': 0.13669542544552385}",20,8,-2.4210227303350202,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
200,False,"{'a': 0.5, 'e': 0.1353352832366127}",20,12,13.443332906589115,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
201,False,"{'a': 0.5, 'e': 0.13398867466880493}",25,17,14.034711100207295,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
202,False,"{'a': 0.5, 'e': 0.13265546508012172}",20,12,3.972869544537074,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
203,False,"{'a': 0.5, 'e': 0.13133552114849303}",35,25,7.05266889536577,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
204,False,"{'a': 0.5, 'e': 0.13002871087842591}",20,11,-3.06237655429421,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
205,False,"{'a': 0.5, 'e': 0.12873490358780423}",20,4,19.54878457118572,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
206,False,"{'a': 0.5, 'e': 0.12745396989482075}",25,6,6.675043807926138,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 0}",1
207,False,"{'a': 0.5, 'e': 0.12618578170503877}",20,4,9.931478481444515,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
208,False,"{'a': 0.5, 'e': 0.12493021219858241}",30,16,-26.436765587629424,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
209,False,"{'a': 0.5, 'e': 0.12368713581745483}",20,-3,31.24394477168852,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 0}",0
210,False,"{'a': 0.5, 'e': 0.12245642825298191}",25,16,17.375044526703842,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
211,False,"{'a': 0.5, 'e': 0.12123796643338168}",35,22,22.514025540764262,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
212,False,"{'a': 0.5, 'e': 0.12003162851145673}",20,2,-9.376656475674926,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
213,False,"{'a': 0.5, 'e': 0.11883729385240965}",20,5,-5.023355794169512,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 0}",1
214,False,"{'a': 0.5, 'e': 0.11765484302177918}",25,14,22.000576007890132,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
215,False,"{'a': 0.5, 'e': 0.11648415777349697}",20,0,13.633251372849625,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
216,False,"{'a': 0.5, 'e': 0.11532512103806251}",25,14,7.714727529875689,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
217,False,"{'a': 0.5, 'e': 0.1141776169108365}",25,10,1.7779012940933718,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
218,False,"{'a': 0.5, 'e': 0.11304153064044985}",25,17,15.775433339103524,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
219,False,"{'a': 0.5, 'e': 0.11191674861732888}",30,19,21.504643115213277,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
220,False,"{'a': 0.5, 'e': 0.11080315836233387}",25,17,15.457236333447241,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
221,False,"{'a': 0.5, 'e': 0.10970064851551141}",30,23,12.920872242311537,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
222,False,"{'a': 0.5, 'e': 0.10860910882495796}",35,24,20.006961113427447,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
223,False,"{'a': 0.5, 'e': 0.10752843013579495}",20,5,31.78454927151479,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
224,False,"{'a': 0.5, 'e': 0.10645850437925281}",20,4,11.647516401005795,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
225,False,"{'a': 0.5, 'e': 0.10539922456186433}",30,14,31.265654886887567,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
226,False,"{'a': 0.5, 'e': 0.10435048475476499}",30,19,7.081057696233763,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
227,False,"{'a': 0.5, 'e': 0.1033121800831002}",25,14,11.72074467413809,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
228,False,"{'a': 0.5, 'e': 0.10228420671553744}",20,1,24.033987407530834,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
229,False,"{'a': 0.5, 'e': 0.1012664618538834}",20,16,8.111476760198903,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
230,False,"{'a': 0.5, 'e': 0.10025884372280371}",30,19,20.227170659906907,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
231,False,"{'a': 0.5, 'e': 0.099261251559645658}",25,10,30.5039882371723,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
232,False,"{'a': 0.5, 'e': 0.098273585604361544}",35,21,15.031919310300108,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
233,False,"{'a': 0.5, 'e': 0.097295747089532758}",20,15,10.404000570350904,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
234,False,"{'a': 0.5, 'e': 0.096327638230493035}",20,10,21.53663374368305,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
235,False,"{'a': 0.5, 'e': 0.095369162215549613}",25,15,19.986842100988603,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
236,False,"{'a': 0.5, 'e': 0.094420223196302347}",25,18,4.61666586736902,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
237,False,"{'a': 0.5, 'e': 0.093480726278058465}",20,9,21.366360323334536,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
238,False,"{'a': 0.5, 'e': 0.09255057751034329}",20,12,16.791496275197314,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
239,False,"{'a': 0.5, 'e': 0.091629683877504836}",20,3,20.07021864720849,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
240,False,"{'a': 0.5, 'e': 0.090717953289412512}",20,9,19.9798325928209,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
241,False,"{'a': 0.5, 'e': 0.089815294572247628}",25,17,13.967912081489338,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
242,False,"{'a': 0.5, 'e': 0.088921617459386343}",30,20,14.78125107027395,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
243,False,"{'a': 0.5, 'e': 0.088036832582372548}",30,21,17.539795470597863,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
244,False,"{'a': 0.5, 'e': 0.087160851461981298}",30,20,18.61244216162362,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
245,False,"{'a': 0.5, 'e': 0.086293586499370495}",20,16,8.950773059194407,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
246,False,"{'a': 0.5, 'e': 0.085434950967321233}",25,15,16.981572344959897,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
247,False,"{'a': 0.5, 'e': 0.084584859001564691}",25,10,27.165155208308615,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
248,False,"{'a': 0.5, 'e': 0.083743225592195963}",20,7,26.855588123580088,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
249,False,"{'a': 0.5, 'e': 0.082909966575172661}",25,13,26.506068953300275,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
250,False,"{'a': 0.5, 'e': 0.0820849986238988}",20,13,15.799477509823912,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
251,False,"{'a': 0.5, 'e': 0.081268239240891674}",20,0,21.815138966306105,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
252,False,"{'a': 0.5, 'e': 0.080459606749532439}",20,7,-7.034205822392799,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 0}",1
253,False,"{'a': 0.5, 'e': 0.079659020285898011}",20,15,12.609631683509532,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
254,False,"{'a': 0.5, 'e': 0.078866399790674946}",25,15,-2.805519986316617,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
255,False,"{'a': 0.5, 'e': 0.078081666001153127}",35,25,21.547724429021166,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
256,False,"{'a': 0.5, 'e': 0.077304740443299741}",20,4,31.188591263444902,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
257,False,"{'a': 0.5, 'e': 0.076535545423911513}",25,10,15.66087205737314,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
258,False,"{'a': 0.5, 'e': 0.075774004022845481}",30,16,26.53813481805145,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
259,False,"{'a': 0.5, 'e': 0.075020040085326978}",20,13,14.535361338126684,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
260,False,"{'a': 0.5, 'e': 0.074273578214333877}",20,12,14.751643633261171,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
261,False,"{'a': 0.5, 'e': 0.073534543763057097}",25,8,34.3129694008428,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
262,False,"{'a': 0.5, 'e': 0.072802862827435588}",30,24,12.034383951262441,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
263,False,"{'a': 0.5, 'e': 0.0720784622387661}",25,10,30.489350802815146,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
264,False,"{'a': 0.5, 'e': 0.071361269556386053}",25,17,13.499495219443283,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
265,False,"{'a': 0.5, 'e': 0.070651213060429596}",20,-3,32.34601973065732,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",0
266,False,"{'a': 0.5, 'e': 0.069948221744655356}",20,12,14.19145807275827,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
267,False,"{'a': 0.5, 'e': 0.069252225309345994}",20,7,25.124179888949897,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
268,False,"{'a': 0.5, 'e': 0.068563154154277911}",20,0,27.135150777196714,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
269,False,"{'a': 0.5, 'e': 0.067880939371761442}",20,16,7.572458235120473,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
270,False,"{'a': 0.5, 'e': 0.067205512739749756}",20,15,7.9646086004704735,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
271,False,"{'a': 0.5, 'e': 0.066536806715016855}",20,6,28.61077092360533,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
272,False,"{'a': 0.5, 'e': 0.065874754426402948}",25,14,21.637703532524373,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
273,False,"{'a': 0.5, 'e': 0.065219289668127525}",20,6,28.680792686474422,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
274,False,"{'a': 0.5, 'e': 0.06457034689316847}",30,20,21.124071260040978,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
275,False,"{'a': 0.5, 'e': 0.06392786120670757}",20,13,13.875066821240221,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
276,False,"{'a': 0.5, 'e': 0.063291768359640704}",30,20,18.860804950673153,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
277,False,"{'a': 0.5, 'e': 0.062662004742153152}",35,21,29.1271243291017,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
278,False,"{'a': 0.5, 'e': 0.06203850737735829}",25,18,14.582842953801208,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
279,False,"{'a': 0.5, 'e': 0.061421213915000127}",20,15,9.631921887025689,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
280,False,"{'a': 0.5, 'e': 0.060810062625217952}",25,18,10.773486563947861,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
281,False,"{'a': 0.5, 'e': 0.060204992392373542}",30,24,12.877524280367378,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
282,False,"{'a': 0.5, 'e': 0.059605942708939368}",20,9,19.531845241899823,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
283,False,"{'a': 0.5, 'e': 0.059012853669447841}",20,10,-33.90442115661408,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
284,False,"{'a': 0.5, 'e': 0.058425665964500828}",25,18,15.36487523932166,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
285,False,"{'a': 0.5, 'e': 0.057844320874838456}",20,9,19.408150728237228,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
286,False,"{'a': 0.5, 'e': 0.057268760265467358}",20,10,19.630704505138237,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
287,False,"{'a': 0.5, 'e': 0.056698926579846903}",30,17,18.49655305258336,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
288,False,"{'a': 0.5, 'e': 0.056134762834133725}",25,15,21.195995361052212,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
289,False,"{'a': 0.5, 'e': 0.055576212611483058}",20,9,13.07954658627806,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
290,False,"{'a': 0.5, 'e': 0.055023220056407231}",30,20,19.731819080251306,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
291,False,"{'a': 0.5, 'e': 0.054475729869189859}",20,-3,41.510895366409486,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",0
292,False,"{'a': 0.5, 'e': 0.053933687300356019}",20,4,27.5941677764176,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
293,False,"{'a': 0.5, 'e': 0.053397038145197084}",35,13,40.14783964640467,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 0}",1
294,False,"{'a': 0.5, 'e': 0.052865728738350368}",25,13,24.583297571392762,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
295,False,"{'a': 0.5, 'e': 0.052339705948432381}",25,17,17.905768675743072,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
296,False,"{'a': 0.5, 'e': 0.051818917172725833}",20,15,11.202740165693298,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
297,False,"{'a': 0.5, 'e': 0.051303310331919108}",35,21,19.867214969714507,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
298,False,"{'a': 0.5, 'e': 0.050792833864898503}",30,12,31.277631041315566,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
299,False,"{'a': 0.5, 'e': 0.050287436723591865}",25,16,18.668990464410275,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
300,False,"{'a': 0.5, 'e': 0.049787068367863944}",25,11,24.407682513473414,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,13,12.851654970135186,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,2,36.973123556481795,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,10,19.744324951520625,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,17,14.92837182997587,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,10,20.086160374663486,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,13,14.811749150214172,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,10,19.24889086088357,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,12,10.731899728124649,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,11,15.287696012558637,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,10,28.63418304203545,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
