trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.5, 'e': 0.65704681981505675}",20,9,-58.97343284299886,"{0: 7, 1: 2, 2: 0, 3: 1, 4: 1}",1
43,False,"{'a': 0.5, 'e': 0.65050909472331653}",20,-100,-346.0549677197747,"{0: 88, 1: 7, 2: 17, 3: 2, 4: 6}",0
44,False,"{'a': 0.5, 'e': 0.64403642108314141}",20,-1,-30.915429138752884,"{0: 17, 1: 0, 2: 2, 3: 2, 4: 0}",1
45,False,"{'a': 0.5, 'e': 0.63762815162177333}",20,8,-31.330717225664923,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
46,False,"{'a': 0.5, 'e': 0.63128364550692595}",20,0,-148.26824032038786,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 3}",1
47,False,"{'a': 0.5, 'e': 0.62500226828270078}",20,-2,-76.55321155526035,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 2}",0
48,False,"{'a': 0.5, 'e': 0.61878339180614084}",25,17,3.4534603642166077,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
49,False,"{'a': 0.5, 'e': 0.61262639418441611}",25,-5,-58.92378574100431,"{0: 23, 1: 2, 2: 4, 3: 0, 4: 1}",0
50,False,"{'a': 0.5, 'e': 0.60653065971263342}",20,-20,-79.81933573143233,"{0: 32, 1: 1, 2: 5, 3: 0, 4: 2}",0
51,False,"{'a': 0.5, 'e': 0.6004955788122659}",20,-2,-103.47459773753648,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 2}",0
52,False,"{'a': 0.5, 'e': 0.59452054797019438}",25,2,-25.57392920338476,"{0: 19, 1: 2, 2: 1, 3: 0, 4: 1}",1
53,False,"{'a': 0.5, 'e': 0.58860496967835518}",25,-22,-38.53192332255201,"{0: 38, 1: 5, 2: 3, 3: 0, 4: 1}",0
54,False,"{'a': 0.5, 'e': 0.58274825237398964}",25,-31,-50.76792936767507,"{0: 43, 1: 5, 2: 6, 3: 2, 4: 0}",0
55,False,"{'a': 0.5, 'e': 0.57694981038048665}",30,-12,-41.38620382276747,"{0: 35, 1: 1, 2: 4, 3: 1, 4: 1}",0
56,False,"{'a': 0.5, 'e': 0.57120906384881487}",20,-3,2.257940238018473,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 0}",0
57,False,"{'a': 0.5, 'e': 0.56552543869953709}",20,13,-5.92573103430418,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
